run,kind,share,censuses,held,forms,lineages,top_lineages,born_size,density,open_born,grass,algae,detritus,meat,kills,travel,land,surface,bottom,side,cells,median_breed,median_share,median_store
e067,plant / no tooth / roams / shore,0.2696249708828325,6,True,39,20,908:0.54 1640:0.22 964:0.12,24.0,1.0,1.2222222222222223,0.08395974279759481,0.5282130639892371,0.2382162004516601,0.14961099276150802,0.10890624220607173,11.774999999999999,0.1937365010799136,0.5157667386609072,0.29049676025917925,7,4444422444442200002220000002000000000000000000000,0.1,0.5,5.0
e067,plant / no tooth / stays / shore,0.20999301187980432,6,True,29,13,908:0.47 964:0.24 1941:0.09,29.0,1.037,1.1578947368421053,0.17280810078633027,0.2738956244348901,0.37823819844663104,0.1750580763321486,0.07588437756423744,5.25,0.26234054353854686,0.266777592900721,0.47088186356073214,7,4444444444444444444444444444444444444444444444444,0.1,0.5,5.0
e067,plant / no tooth / roams / surface,0.1365595154903331,6,True,32,13,908:0.51 1941:0.12 1640:0.10,18,1.0,1.2941176470588236,0.009768943917150337,0.8661263869541022,0.0,0.12410466912874753,0.12242033663203497,13.59,0.05714285714285714,0.9428571428571428,0.0,7,4444422444442200000220000000000000000000000000000,0.1,0.5,5.0
e067,plant / no tooth / roams / bottom,0.08938970416957838,6,True,24,22,908:0.88 2241:0.05 2113:0.02,23,1.142,1.1304347826086956,0.007256537435934653,0.0,0.8759657580263843,0.11677770453768099,0.05721952524749086,17.36,0.05732899022801303,0.0,0.9426710097719869,8,4444442244444442000022240000002200000002000000000000000000000000,0.1,0.5,5.0
e067,mixed / no tooth / roams / shore,0.07197763801537387,5,False,36,35,1950:0.22 1520:0.11 1800:0.09,25.0,1.931,1.0,0.15493821549356263,0.1193692843942741,0.24468829137553233,0.4810042087366308,0.40532072554920323,16.955,0.4166666666666667,0.15210355987055016,0.4312297734627832,5,2222222222440424444444444,0.1,0.5,5.0
e067,plant / no tooth / stays / surface,0.05334265082692756,1,False,18,14,1709:0.43 964:0.18 1563:0.12,33.0,1.0,1.2903225806451613,0.00812807246749867,0.8709076015952484,0.0,0.12096432593725287,0.11939474638113085,5.49,0.04694323144104803,0.9530567685589519,0.0,8,2222222422222200220000002000000420000044440000444444444444444444,0.1,0.5,5.0
e067,mixed / no tooth / roams / land,0.03680409969718146,3,False,25,25,2344:0.25 1772:0.16 1840:0.12,49.0,1.4085,0.6313207547169811,0.5639317056478002,0.0004843486098079823,0.01505385899320095,0.42053008674919085,0.34021639650258584,12.16,0.9620253164556962,0.0,0.0379746835443038,8,4444444444444444444444444422224442222224422222222222222222222222,0.1,0.5,5.0
e067,plant / no tooth / stays / land,0.032669461914744936,2,False,47,43,1711:0.26 2450:0.09 2133:0.08,49,1.231,0.5714285714285714,0.7381375159378307,0.0014737464134242453,0.011980788648648766,0.2484079490000962,0.10673992974832967,1.5,0.9857397504456328,0.0017825311942959,0.012477718360071301,8,4444444444444444444444444444444444444444444444444444444444444444,0.1,0.5,5.0
e067,mixed / no tooth / stays / land,0.028185418122525042,1,False,12,12,1835:0.42 1783:0.36 2109:0.11,49.0,1.225,0.5714285714285714,0.5989107906074408,0.0,0.002649738478493854,0.3984394709140653,0.2146440741658357,2.435,0.9896694214876033,0.0,0.010330578512396695,7,2222222442222244444444444444444444444444444444444,0.1,0.5,5.0
e067,plant / no tooth / stays / bottom,0.01863498718844631,1,False,14,14,1709:0.45 1563:0.17 1723:0.14,30.0,1.064,1.1666666666666667,0.008195870970577543,0.0,0.7746295305072335,0.21717459852218893,0.05327915463304659,3.25,0.05,0.0,0.95,7,2200000220000040000004000000400000040000004000000,0.1,0.5,5.0
e069,plant / no tooth / roams / shore,0.5023913386240605,6,True,59,21,957:0.77 2663:0.06 1935:0.04,21,1.0,1.0,0.04199806784998376,0.6106328260253098,0.24943222113053162,0.09793688499417492,0.06484507044503625,12.76,0.173030651741814,0.556229731143425,0.27073961711476097,6,444444442244022224002220000000000000,0.0975,0.4768,5.97
e069,plant / no tooth / stays / shore,0.1485783360487728,6,True,26,16,957:0.45 1935:0.27 1690:0.07,33,1.016,0.9565217391304348,0.2847437432940846,0.24339791654621154,0.2870211792455386,0.1848371609141654,0.06162002117311238,4.37,0.42341704987619383,0.2461973823841528,0.33038556773965333,7,4444444444444444444444444444444444444444444444444,0.1046,0.5015,5.616
