step,pop,mean_energy,mean_res,mean_genes,births,deaths_energy,deaths_age,deaths_broken,deaths_body,cells_broken,plant_intake,meat_intake,stay,forward,left,right,steps_per_sec,mass_mean,mass_std,hard_mean,hard_std,muscle_mean,muscle_std,sensor_mean,sensor_std,digestive_mean,digestive_std,bite_mean,bite_std,speed_mean,speed_std,distinct_bodies,top_body_share,diet_plants,diet_mixed,diet_meat,diet_none,births_with_neighbor,sexual_births,lineages,top_lineage_share,no_lineage_share,sensor_agents_share,sense_decisions,sense_used,res_std,res_above_half,regrowth,develops,prey_age_mean,meat_per_cell,kills_young_share,meat_majority,contacts,shell_mean,open_mean,full_share,damaged_share,biters_share,mass_p10,mass_p50,mass_p90,mass_max,occupied_cells,cover,wasted,intake_per_gut,crossers,pop_none,blocked,shoves,turns_blocked,births_no_room,foot_mean,len_fwd,len_side,bite_any_mean,biters_any_share,shell_front,shell_back,shell_side
10000,4841,1.726,0.448,7.11,256044,232940,2953,10,21282,10933,3522804.0,846.6,0.287,0.279,0.227,0.207,208,10.93,7.34,0.10,1.17,0.17,1.50,0.10,0.93,10.56,6.63,0.01,0.24,0.009,0.060,819,0.047,0.893,0.002,0.000,0.105,746099,704215,20,0.666,0.042,0.023,3211912,0.149,1.562,0.052,371.00,221223,528,0.077,0.100,0.000,10373859,1.03,15.28,0.004,0.003,0.002,4,10,17,64,52910,0.050,282.76,0.0069,0.015,57,0.823,0.000,0.816,0.667,3.27,4.06,5.18,0.01,0.004,1.05,1.02,1.04
20000,5488,1.598,0.400,6.83,412399,373477,5374,5,32896,4790,3049817.8,416.3,0.328,0.165,0.294,0.214,183,8.79,5.55,0.01,0.29,0.05,0.96,0.05,0.65,8.67,5.34,0.00,0.10,0.004,0.048,546,0.047,0.864,0.000,0.000,0.136,955817,911001,25,0.679,0.114,0.014,845777,0.116,1.482,0.046,379.66,252215,483,0.087,0.000,0.000,8366621,1.01,16.61,0.003,0.000,0.000,4,8,13,64,48247,0.046,274.10,0.0064,0.017,101,0.751,0.000,0.878,0.578,3.07,3.74,5.10,0.00,0.000,1.00,1.01,1.01
30000,5956,1.530,0.360,7.81,494253,451539,6249,8,35989,826,2959397.0,112.9,0.323,0.126,0.285,0.266,170,8.19,4.26,0.03,0.76,0.03,0.47,0.04,0.48,8.09,4.17,0.00,0.03,0.003,0.048,589,0.039,0.870,0.000,0.000,0.130,1010587,968647,9,0.810,0.019,0.011,733343,0.102,1.411,0.042,383.34,273904,1276,0.137,0.250,0.000,7629174,1.01,16.91,0.000,0.000,0.000,4,8,12,60,48783,0.047,270.42,0.0061,0.011,140,0.734,0.000,0.878,0.520,3.18,3.10,5.96,0.00,0.000,1.01,1.01,1.01
40000,5962,1.521,0.325,8.55,506909,463495,6293,54,37061,891,2928814.8,208.7,0.293,0.107,0.272,0.328,157,7.95,4.23,0.02,0.43,0.03,0.50,0.05,0.74,7.85,4.06,0.00,0.01,0.003,0.047,560,0.080,0.875,0.000,0.000,0.125,1021334,983587,9,0.770,0.034,0.010,597464,0.099,1.339,0.037,382.86,277480,678,0.234,0.185,0.000,6363916,1.01,17.32,0.000,0.005,0.000,4,8,12,64,47384,0.045,270.90,0.0063,0.020,112,0.704,0.000,0.855,0.513,3.26,2.91,6.37,0.00,0.001,1.01,1.01,1.01
50000,6141,1.506,0.298,8.76,503903,460754,6170,31,36769,862,2892082.0,174.4,0.273,0.108,0.271,0.348,146,7.81,3.84,0.01,0.29,0.01,0.26,0.04,0.58,7.74,3.82,0.00,0.00,0.002,0.039,587,0.077,0.878,0.000,0.000,0.122,1008632,974809,8,0.439,0.355,0.015,648141,0.091,1.280,0.034,382.34,285953,421,0.202,0.355,0.000,6754232,1.00,17.41,0.000,0.000,0.000,4,8,12,50,47952,0.046,271.42,0.0061,0.014,136,0.690,0.000,0.850,0.509,3.31,2.90,6.65,0.00,0.000,1.01,1.01,1.01
60000,6147,1.502,0.271,8.87,515965,473875,6097,0,35987,26,2851228.2,4.0,0.235,0.102,0.300,0.362,148,7.63,3.65,0.01,0.22,0.02,0.30,0.03,0.56,7.57,3.61,0.00,0.00,0.002,0.041,527,0.069,0.889,0.000,0.000,0.111,1000147,972894,9,0.432,0.036,0.011,850511,0.086,1.222,0.030,382.71,288899,0,0.156,0.000,0.000,6311826,1.00,17.60,0.000,0.000,0.000,4,8,12,56,46894,0.045,271.05,0.0061,0.020,116,0.675,0.000,0.847,0.494,3.36,2.99,6.91,0.00,0.000,1.00,1.00,1.00
70000,6227,1.491,0.248,9.03,512632,470951,6263,0,35338,34,2886667.0,1.6,0.167,0.098,0.336,0.399,146,7.65,3.67,0.01,0.26,0.02,0.41,0.04,0.50,7.58,3.61,0.00,0.00,0.003,0.043,498,0.069,0.878,0.000,0.000,0.122,1004932,983205,13,0.415,0.055,0.010,874095,0.087,1.173,0.028,382.94,286142,0,0.048,0.000,0.000,5917141,1.01,17.70,0.000,0.000,0.000,4,8,12,55,47613,0.045,270.82,0.0061,0.011,126,0.668,0.000,0.860,0.499,3.32,2.76,6.81,0.00,0.000,1.01,1.01,1.01
80000,6129,1.499,0.232,9.05,515945,474054,6184,1,35804,27,2921678.5,2.9,0.158,0.102,0.367,0.372,143,7.84,3.76,0.01,0.15,0.02,0.35,0.04,0.55,7.78,3.70,0.00,0.00,0.002,0.037,512,0.052,0.884,0.000,0.000,0.116,1007895,988549,10,0.493,0.033,0.014,721382,0.100,1.126,0.026,384.49,294499,15,0.107,1.000,0.000,6232283,1.00,17.58,0.000,0.000,0.000,4,8,12,44,48070,0.046,269.27,0.0061,0.013,117,0.673,0.000,0.847,0.498,3.40,2.94,6.81,0.00,0.000,1.00,1.00,1.00
90000,5785,1.519,0.203,8.97,504988,464458,6194,0,34680,56,2979340.8,5.6,0.164,0.100,0.376,0.361,146,8.28,4.38,0.01,0.21,0.02,0.34,0.05,0.52,8.21,4.35,0.00,0.00,0.002,0.034,503,0.060,0.880,0.000,0.000,0.120,1015302,998537,7,0.488,0.001,0.014,920338,0.097,1.038,0.022,383.28,280064,0,0.100,0.000,0.000,6141256,1.01,17.23,0.000,0.000,0.000,4,8,12,64,47894,0.046,270.47,0.0063,0.015,151,0.693,0.000,0.829,0.511,3.54,3.11,6.95,0.00,0.000,1.00,1.00,1.01
100000,5924,1.512,0.188,9.17,502919,461530,6176,0,35074,18,2972057.5,2.0,0.148,0.108,0.403,0.341,137,7.72,3.79,0.01,0.25,0.02,0.39,0.04,0.45,7.66,3.78,0.00,0.01,0.002,0.035,495,0.082,0.886,0.000,0.000,0.114,1039334,1019376,8,0.423,0.037,0.014,704310,0.097,1.007,0.020,383.77,294478,0,0.109,0.000,0.000,6631605,1.00,17.79,0.000,0.000,0.000,3,8,12,62,45745,0.044,269.99,0.0066,0.000,180,0.710,0.000,0.822,0.524,3.45,3.16,6.75,0.00,0.000,1.00,1.00,1.01
