step,pop,mean_energy,mean_res,mean_genes,births,deaths_energy,deaths_age,deaths_broken,deaths_body,cells_broken,plant_intake,meat_intake,stay,forward,left,right,steps_per_sec,mass_mean,mass_std,hard_mean,hard_std,muscle_mean,muscle_std,sensor_mean,sensor_std,digestive_mean,digestive_std,bite_mean,bite_std,speed_mean,speed_std,distinct_bodies,top_body_share,diet_plants,diet_mixed,diet_meat,diet_none,births_with_neighbor,sexual_births,lineages,top_lineage_share,no_lineage_share,sensor_agents_share,sense_decisions,sense_used,res_std,res_above_half,regrowth,develops,prey_age_mean,meat_per_cell,kills_young_share,meat_majority,contacts,shell_mean,open_mean,full_share,damaged_share,biters_share,mass_p10,mass_p50,mass_p90,mass_max,occupied_cells,cover,wasted,intake_per_gut,crossers,pop_none,blocked,shoves,turns_blocked,births_no_room,foot_mean,len_fwd,len_side,bite_any_mean,biters_any_share,shell_front,shell_back,shell_side
10000,6212,1.725,0.433,9.34,327096,281528,3459,19,41706,6896,4048267.5,432.8,0.258,0.309,0.219,0.213,149,9.70,8.93,0.11,1.11,0.07,0.77,0.35,2.84,9.16,7.50,0.00,0.00,0.006,0.055,1146,0.029,0.911,0.001,0.000,0.088,1008580,960814,48,0.137,0.055,0.043,4295996,0.135,1.511,0.049,461.26,317111,101,0.063,0.737,0.000,16104227,1.04,16.50,0.006,0.001,0.000,3,8,17,64,60232,0.057,192.00,0.0071,0.007,48,0.864,0.000,0.776,0.682,2.98,4.07,4.54,0.00,0.000,1.03,1.04,1.05
20000,7043,1.604,0.385,9.14,504020,428333,6618,2,68236,279,3531747.0,38.8,0.268,0.234,0.215,0.283,118,7.94,5.14,0.08,0.80,0.05,0.87,0.06,0.48,7.76,4.91,0.00,0.09,0.003,0.041,976,0.028,0.891,0.000,0.000,0.109,1221950,1151619,34,0.180,0.176,0.024,1840543,0.086,1.439,0.044,480.31,416432,361,0.139,0.000,0.000,19005312,1.03,17.40,0.000,0.000,0.000,3,7,14,51,55905,0.053,172.95,0.0065,0.018,41,0.876,0.000,0.870,0.594,2.86,3.97,4.40,0.00,0.001,1.03,1.02,1.04
30000,7400,1.564,0.350,9.02,544707,461214,7401,0,75735,179,3283230.8,15.0,0.237,0.193,0.236,0.333,114,7.12,4.56,0.03,0.34,0.01,0.17,0.04,0.40,7.03,4.55,0.00,0.00,0.002,0.037,942,0.052,0.897,0.000,0.000,0.103,1310624,1246959,39,0.175,0.112,0.022,1317030,0.084,1.382,0.040,481.42,427351,0,0.084,0.000,0.000,18387041,1.02,18.49,0.000,0.000,0.000,3,6,13,43,52668,0.050,171.84,0.0063,0.016,45,0.860,0.000,0.899,0.590,2.88,4.20,4.33,0.00,0.000,1.01,1.02,1.02
40000,7348,1.555,0.324,9.72,557390,479008,7582,1,70851,195,3267348.2,18.2,0.213,0.182,0.241,0.363,105,7.29,4.81,0.05,0.63,0.01,0.22,0.07,0.77,7.16,4.67,0.00,0.03,0.001,0.030,1021,0.050,0.891,0.000,0.000,0.109,1315582,1253268,38,0.135,0.077,0.028,1496732,0.079,1.326,0.036,478.68,462271,18,0.093,1.000,0.000,17839033,1.03,18.15,0.000,0.001,0.000,2,6,14,64,53597,0.051,174.58,0.0062,0.028,28,0.868,0.000,0.899,0.581,3.04,4.31,4.76,0.00,0.000,1.02,1.03,1.03
50000,7524,1.517,0.289,9.32,568830,492036,7944,0,68674,242,3278026.8,27.0,0.197,0.162,0.221,0.421,99,6.67,3.99,0.04,0.54,0.02,0.34,0.06,0.50,6.56,3.92,0.00,0.00,0.002,0.033,870,0.059,0.898,0.000,0.000,0.102,1340368,1289472,33,0.094,0.155,0.024,1759418,0.064,1.258,0.032,480.63,457041,0,0.111,0.000,0.000,15847357,1.02,18.88,0.000,0.001,0.000,2,6,11,41,50202,0.048,172.63,0.0066,0.028,53,0.866,0.000,0.888,0.580,3.19,4.57,5.21,0.00,0.000,1.02,1.02,1.02
60000,7714,1.514,0.278,9.11,577290,495767,8946,0,72387,197,3170847.0,22.1,0.182,0.148,0.162,0.508,103,6.15,3.92,0.04,0.67,0.02,0.42,0.04,0.56,6.05,3.77,0.00,0.07,0.002,0.034,783,0.057,0.907,0.000,0.000,0.093,1371110,1327583,31,0.151,0.063,0.013,1760897,0.072,1.232,0.031,481.13,441396,0,0.112,0.000,0.000,14649220,1.02,19.61,0.000,0.001,0.001,2,6,10,64,47475,0.045,172.13,0.0068,0.019,45,0.858,0.000,0.864,0.583,3.09,4.56,5.01,0.00,0.001,1.02,1.02,1.02
70000,7724,1.476,0.275,9.05,600026,518509,9359,0,72148,231,3184924.2,23.5,0.162,0.147,0.135,0.556,101,6.22,3.72,0.04,0.71,0.02,0.35,0.05,0.55,6.11,3.60,0.00,0.06,0.002,0.034,839,0.075,0.900,0.000,0.000,0.100,1384086,1344065,36,0.144,0.211,0.018,1257825,0.077,1.220,0.030,482.49,456975,0,0.102,0.000,0.000,14764229,1.02,19.37,0.000,0.001,0.001,2,6,10,64,48081,0.046,170.77,0.0067,0.016,33,0.870,0.000,0.866,0.571,3.18,4.98,5.07,0.00,0.001,1.01,1.02,1.02
80000,7787,1.487,0.273,8.87,625217,543245,8817,1,73091,114,3162689.8,9.7,0.189,0.169,0.112,0.531,102,6.50,4.00,0.04,0.48,0.02,0.27,0.06,0.59,6.38,3.93,0.00,0.02,0.003,0.047,885,0.067,0.891,0.000,0.000,0.109,1392135,1357253,33,0.175,0.072,0.025,1861570,0.072,1.211,0.030,482.77,445369,27,0.085,1.000,0.000,18447972,1.02,19.21,0.000,0.000,0.000,2,6,11,64,50625,0.048,170.49,0.0064,0.003,34,0.895,0.000,0.844,0.555,3.50,5.67,5.38,0.00,0.000,1.01,1.02,1.02
90000,7755,1.480,0.267,8.98,616365,536119,8700,0,71578,116,3209076.8,9.4,0.190,0.162,0.153,0.495,98,6.48,3.61,0.03,0.39,0.01,0.28,0.05,0.57,6.38,3.55,0.00,0.08,0.002,0.036,766,0.096,0.898,0.000,0.000,0.102,1379940,1356627,21,0.212,0.064,0.024,1706120,0.075,1.206,0.029,479.58,440321,0,0.081,0.000,0.000,18303269,1.02,19.24,0.000,0.000,0.000,2,6,10,53,50243,0.048,173.68,0.0065,0.040,47,0.875,0.000,0.797,0.558,3.63,5.77,5.91,0.00,0.001,1.01,1.02,1.02
100000,7759,1.485,0.268,8.92,616468,535235,9047,0,72182,140,3090006.5,15.7,0.179,0.138,0.191,0.492,92,6.54,3.78,0.04,0.59,0.02,0.41,0.05,0.62,6.44,3.59,0.00,0.03,0.002,0.036,715,0.140,0.901,0.000,0.000,0.099,1369943,1351107,25,0.231,0.018,0.014,1341987,0.080,1.197,0.029,479.12,431222,0,0.112,0.000,0.000,16049044,1.02,19.47,0.000,0.000,0.000,3,6,11,64,50751,0.048,174.15,0.0062,0.030,33,0.857,0.000,0.766,0.554,3.76,6.01,6.21,0.00,0.000,1.01,1.02,1.02
