step,pop,mean_energy,mean_res,mean_genes,births,deaths_energy,deaths_age,deaths_broken,deaths_body,cells_broken,plant_intake,meat_intake,stay,forward,left,right,steps_per_sec,mass_mean,mass_std,hard_mean,hard_std,muscle_mean,muscle_std,sensor_mean,sensor_std,digestive_mean,digestive_std,bite_mean,bite_std,speed_mean,speed_std,distinct_bodies,top_body_share,diet_plants,diet_mixed,diet_meat,diet_none,births_with_neighbor,sexual_births,lineages,top_lineage_share,no_lineage_share,sensor_agents_share,sense_decisions,sense_used,res_std,res_above_half,regrowth,develops,prey_age_mean,meat_per_cell,kills_young_share,meat_majority,contacts,shell_mean,open_mean,full_share,damaged_share,biters_share,mass_p10,mass_p50,mass_p90,mass_max,occupied_cells,cover,wasted,intake_per_gut,crossers,pop_none,blocked,shoves,turns_blocked,births_no_room,foot_mean,len_fwd,len_side,bite_any_mean,biters_any_share,shell_front,shell_back,shell_side
10000,6890,1.614,0.482,6.07,337145,291536,4004,0,40655,7372,3854625.5,445.3,0.302,0.254,0.164,0.280,175,8.13,5.92,0.08,0.85,0.09,0.67,0.06,0.81,7.91,5.68,0.00,0.06,0.008,0.062,891,0.055,0.900,0.000,0.000,0.100,1095289,1059464,18,0.622,0.121,0.016,3334981,0.140,1.595,0.055,459.81,267136,0,0.060,0.000,0.000,14240953,1.03,18.29,0.001,0.000,0.000,3,7,14,64,56036,0.053,193.45,0.0071,0.001,57,0.873,0.000,0.825,0.698,3.06,5.08,3.36,0.00,0.001,1.04,1.04,1.03
20000,7115,1.555,0.428,6.17,540770,473860,7280,2,59403,144,3455903.5,13.7,0.303,0.246,0.149,0.303,145,7.38,4.56,0.05,0.68,0.08,0.84,0.05,0.74,7.20,4.25,0.00,0.05,0.007,0.065,779,0.098,0.896,0.000,0.000,0.104,1328605,1299789,16,0.629,0.055,0.010,794262,0.109,1.499,0.048,478.89,283179,803,0.095,0.000,0.000,22205596,1.02,19.02,0.000,0.000,0.000,3,7,13,64,52523,0.050,174.37,0.0067,0.003,46,0.901,0.000,0.853,0.598,3.26,4.89,4.19,0.00,0.001,1.03,1.03,1.03
30000,7184,1.516,0.397,5.99,579065,509190,7708,1,62097,100,3362367.5,9.9,0.292,0.229,0.144,0.334,138,7.20,4.28,0.05,0.68,0.04,0.60,0.05,0.53,7.06,4.10,0.00,0.05,0.004,0.050,676,0.087,0.893,0.000,0.000,0.107,1353785,1332783,15,0.714,0.002,0.016,906333,0.101,1.458,0.045,479.67,290624,30,0.099,1.000,0.000,22424216,1.02,19.46,0.000,0.000,0.000,2,6,12,64,51719,0.049,173.60,0.0066,0.017,39,0.900,0.000,0.763,0.577,3.34,4.94,4.52,0.00,0.001,1.02,1.02,1.02
40000,7009,1.542,0.379,5.89,596504,522428,8014,1,66236,72,3510024.5,7.7,0.294,0.226,0.181,0.299,136,7.84,4.34,0.03,0.34,0.02,0.38,0.03,0.40,7.76,4.30,0.00,0.00,0.002,0.040,651,0.120,0.892,0.000,0.000,0.107,1382107,1360991,13,0.729,0.053,0.007,716336,0.095,1.429,0.043,479.60,288456,29,0.108,1.000,0.000,22297905,1.01,18.68,0.000,0.000,0.000,3,8,12,54,54922,0.052,173.66,0.0065,0.013,37,0.898,0.000,0.722,0.573,3.85,5.21,5.30,0.00,0.000,1.01,1.01,1.01
50000,7221,1.521,0.341,5.92,596255,527281,7198,1,61563,82,3568087.0,9.5,0.256,0.232,0.223,0.289,126,7.43,4.13,0.03,0.45,0.03,0.50,0.03,0.72,7.33,3.95,0.00,0.00,0.003,0.046,573,0.091,0.903,0.000,0.000,0.097,1382982,1368219,10,0.719,0.019,0.005,455691,0.090,1.363,0.039,483.68,271597,334,0.116,0.000,0.000,23425305,1.01,19.00,0.000,0.001,0.000,3,7,12,58,53631,0.051,169.58,0.0067,0.004,65,0.877,0.000,0.678,0.574,3.85,5.45,5.59,0.00,0.000,1.01,1.02,1.01
60000,7407,1.518,0.327,6.34,589221,517568,7676,0,63791,34,3490058.0,3.3,0.292,0.215,0.223,0.271,127,7.21,4.40,0.02,0.35,0.01,0.24,0.02,0.30,7.16,4.34,0.00,0.01,0.002,0.033,668,0.096,0.895,0.000,0.000,0.105,1366767,1348383,10,0.694,0.086,0.008,438683,0.105,1.340,0.037,484.43,296142,0,0.097,0.000,0.000,23050084,1.01,19.10,0.000,0.000,0.000,2,7,12,64,53427,0.051,168.83,0.0066,0.031,55,0.865,0.000,0.671,0.574,3.71,5.31,5.45,0.00,0.000,1.01,1.01,1.01
70000,7498,1.505,0.318,6.62,597465,528119,8495,0,60760,39,3412809.2,4.6,0.320,0.174,0.213,0.293,124,6.94,4.20,0.04,0.48,0.03,0.63,0.04,0.55,6.82,4.05,0.00,0.03,0.003,0.042,686,0.093,0.885,0.000,0.000,0.115,1370855,1346343,14,0.691,0.016,0.010,789440,0.086,1.326,0.036,482.80,310829,0,0.118,0.000,0.000,19116481,1.02,19.41,0.000,0.000,0.000,2,7,12,58,52020,0.050,170.46,0.0067,0.017,40,0.847,0.000,0.686,0.569,3.61,5.00,5.42,0.00,0.000,1.02,1.03,1.02
80000,7792,1.481,0.312,6.50,618508,546527,8287,0,63400,45,3359519.0,5.9,0.331,0.162,0.212,0.295,120,6.64,3.90,0.04,0.74,0.02,0.37,0.02,0.28,6.56,3.77,0.00,0.00,0.003,0.046,612,0.110,0.886,0.000,0.000,0.114,1379747,1354711,8,0.756,0.052,0.008,709290,0.091,1.307,0.035,482.44,321312,0,0.131,0.000,0.000,18138106,1.02,19.64,0.000,0.000,0.000,3,6,10,64,51750,0.049,170.82,0.0066,0.016,36,0.843,0.000,0.640,0.557,3.55,4.86,5.67,0.00,0.001,1.02,1.02,1.01
90000,7803,1.466,0.297,6.53,632071,560375,8400,0,63285,46,3259476.2,5.9,0.357,0.136,0.193,0.314,118,6.57,3.74,0.03,0.55,0.04,0.52,0.02,0.38,6.48,3.63,0.00,0.00,0.006,0.064,605,0.198,0.886,0.000,0.000,0.114,1379149,1359155,6,0.755,0.044,0.006,536791,0.087,1.277,0.034,483.80,315771,0,0.129,0.000,0.000,13430847,1.01,19.69,0.000,0.000,0.000,3,6,10,60,51289,0.049,169.46,0.0064,0.015,23,0.813,0.000,0.585,0.547,3.62,4.94,6.03,0.00,0.000,1.01,1.01,1.01
100000,7870,1.481,0.290,6.88,628878,559386,8626,1,60798,36,3154235.8,5.1,0.401,0.119,0.145,0.335,112,6.61,3.88,0.03,0.49,0.04,0.53,0.03,0.42,6.50,3.75,0.00,0.00,0.005,0.057,633,0.163,0.885,0.000,0.000,0.115,1381401,1363764,9,0.718,0.072,0.011,683946,0.091,1.263,0.033,485.66,313833,328,0.141,0.000,0.000,11079019,1.01,19.61,0.000,0.000,0.000,3,6,10,64,51995,0.050,167.60,0.0062,0.020,48,0.786,0.000,0.591,0.550,3.52,4.49,6.02,0.00,0.000,1.01,1.02,1.01
110000,8047,1.468,0.279,7.02,651798,579074,8718,0,63829,13,3120840.5,1.9,0.430,0.103,0.143,0.325,118,6.30,3.69,0.02,0.40,0.04,0.63,0.02,0.28,6.22,3.55,0.00,0.00,0.005,0.059,669,0.134,0.871,0.000,0.000,0.129,1411756,1390513,11,0.691,0.059,0.006,637644,0.079,1.239,0.031,484.76,333195,0,0.146,0.000,0.000,9057449,1.01,19.90,0.000,0.000,0.000,3,6,10,63,50687,0.048,168.51,0.0062,0.005,39,0.774,0.000,0.628,0.543,3.37,4.25,5.77,0.00,0.000,1.01,1.01,1.01
