step,place,pop,mass,hard,muscle,sensor,digestive,bite,shell,biters,cover,plant_intake,meat_intake,lineages,movers,foot,shell_front,shell_back
10000,8,4397,10.91,0.03,0.09,0.08,10.70,0.00,1.01,0.000,0.188,2099500.5,164.6,16,28,3.32,1.01,1.02
10000,1,387,9.91,0.72,0.76,0.17,8.26,0.08,1.21,0.018,0.652,546877.8,239.9,10,46,2.67,1.33,1.06
10000,0,57,19.63,1.67,2.00,0.98,14.98,0.23,1.40,0.053,0.002,374258.7,442.2,8,26,3.95,1.65,1.19
20000,8,4759,9.06,0.01,0.04,0.06,8.95,0.00,1.00,0.000,0.184,1794388.6,3.1,20,42,3.19,1.00,1.00
20000,1,628,6.53,0.04,0.09,0.01,6.40,0.01,1.02,0.002,0.688,559479.3,219.6,6,53,2.24,1.02,1.01
20000,0,101,10.02,0.02,0.17,0.08,9.75,0.00,1.01,0.000,0.001,5777.4,193.6,7,49,2.68,1.01,1.00
30000,8,5166,8.54,0.03,0.03,0.04,8.44,0.00,1.01,0.000,0.173,1613976.6,6.1,6,29,3.30,1.01,1.01
30000,1,650,5.61,0.00,0.01,0.03,5.57,0.00,1.00,0.000,0.612,593925.2,98.3,4,34,2.34,1.00,1.00
30000,0,140,7.36,0.30,0.04,0.08,6.94,0.00,1.07,0.000,0.001,3770.9,8.5,4,72,2.48,1.08,1.05
40000,8,5061,8.50,0.02,0.03,0.06,8.40,0.00,1.01,0.000,0.167,1495305.0,167.3,7,45,3.46,1.01,1.01
40000,1,789,4.68,0.00,0.03,0.01,4.64,0.00,1.00,0.000,0.653,591295.8,41.5,3,77,2.13,1.00,1.00
40000,0,112,5.86,0.04,0.12,0.00,5.70,0.00,1.03,0.000,0.001,3548.1,0.0,4,61,2.32,1.03,1.02
50000,8,5186,8.36,0.01,0.01,0.05,8.28,0.00,1.01,0.000,0.154,1437204.4,174.4,6,40,3.50,1.01,1.01
50000,1,819,4.59,0.00,0.03,0.01,4.56,0.00,1.00,0.000,0.624,591057.3,0.0,3,44,2.21,1.00,1.00
50000,0,136,6.31,0.00,0.01,0.00,6.30,0.00,1.00,0.000,0.001,2784.8,0.0,4,60,2.65,1.00,1.00
60000,8,5204,8.17,0.01,0.02,0.04,8.11,0.00,1.00,0.000,0.159,1385847.5,2.1,7,61,3.56,1.00,1.00
60000,1,827,4.56,0.00,0.02,0.00,4.53,0.00,1.00,0.000,0.622,594805.2,0.2,4,62,2.22,1.00,1.00
60000,0,116,5.12,0.03,0.02,0.00,5.08,0.00,1.01,0.000,0.001,3138.4,1.7,4,56,2.41,1.01,1.01
70000,8,5245,8.22,0.01,0.02,0.03,8.16,0.00,1.01,0.000,0.157,1372435.1,0.3,10,28,3.56,1.01,1.01
70000,1,856,4.46,0.01,0.05,0.08,4.32,0.00,1.00,0.000,0.612,588866.4,1.0,6,38,2.03,1.00,1.00
70000,0,126,5.55,0.00,0.03,0.05,5.47,0.00,1.00,0.000,0.001,3141.2,0.3,6,63,2.30,1.00,1.00
80000,8,5243,8.30,0.01,0.01,0.04,8.24,0.00,1.00,0.000,0.153,1377725.8,2.4,7,40,3.60,1.00,1.00
80000,1,769,4.91,0.01,0.04,0.06,4.80,0.00,1.01,0.000,0.611,596387.9,0.4,6,38,2.15,1.01,1.01
80000,0,117,6.70,0.00,0.12,0.03,6.55,0.00,1.00,0.000,0.001,2816.1,0.2,7,62,2.43,1.00,1.00
90000,8,4952,8.66,0.01,0.02,0.05,8.58,0.00,1.00,0.000,0.153,1376494.2,5.6,4,23,3.76,1.00,1.00
90000,1,682,5.76,0.00,0.01,0.02,5.72,0.00,1.00,0.000,0.641,590975.4,0.0,6,64,2.21,1.00,1.00
90000,0,151,7.25,0.10,0.00,0.00,7.15,0.00,1.04,0.000,0.002,3373.6,0.0,6,77,2.40,1.04,1.04
100000,8,4956,8.26,0.01,0.02,0.03,8.20,0.00,1.00,0.000,0.158,1391232.2,1.7,4,0,3.70,1.00,1.00
100000,1,788,4.79,0.01,0.01,0.06,4.71,0.00,1.00,0.000,0.585,588580.4,0.1,7,0,2.15,1.00,1.00
100000,0,180,5.78,0.02,0.00,0.14,5.62,0.00,1.01,0.000,0.001,2601.1,0.1,7,90,2.28,1.00,1.02
110000,8,5233,8.17,0.03,0.01,0.03,8.11,0.00,1.01,0.000,0.162,1314643.5,6.2,4,19,3.85,1.01,1.01
110000,1,731,5.03,0.01,0.05,0.03,4.95,0.00,1.01,0.000,0.591,584682.9,0.0,6,19,2.10,1.00,1.01
110000,0,148,6.32,0.15,0.17,0.06,5.95,0.00,1.05,0.000,0.001,2495.5,0.4,7,73,2.39,1.01,1.08
120000,8,4977,8.54,0.02,0.02,0.07,8.44,0.00,1.01,0.000,0.158,1311584.8,5.8,5,12,4.03,1.01,1.01
120000,1,626,6.06,0.04,0.03,0.02,5.97,0.00,1.02,0.000,0.607,585950.8,2.5,7,17,2.18,1.02,1.01
120000,0,139,7.62,0.10,0.26,0.03,7.23,0.00,1.04,0.000,0.001,2513.0,0.3,7,66,2.49,1.06,1.03
130000,8,4973,8.64,0.03,0.01,0.07,8.53,0.00,1.01,0.000,0.146,1262311.1,3.3,5,7,4.32,1.01,1.01
130000,1,734,5.22,0.00,0.03,0.06,5.13,0.00,1.00,0.000,0.637,593456.0,0.0,6,33,1.95,1.00,1.00
130000,0,172,6.45,0.00,0.04,0.02,6.38,0.00,1.00,0.000,0.002,2526.7,0.2,9,78,2.20,1.00,1.00
140000,8,5007,8.64,0.02,0.02,0.06,8.54,0.00,1.01,0.000,0.152,1241102.2,5.7,5,6,4.29,1.01,1.01
140000,1,729,5.27,0.03,0.05,0.02,5.18,0.00,1.01,0.000,0.617,595197.2,0.0,8,3,2.09,1.01,1.01
140000,0,148,7.00,0.13,0.09,0.09,6.69,0.00,1.04,0.000,0.001,2544.5,0.0,10,47,2.61,1.02,1.05
150000,8,4848,8.41,0.03,0.01,0.05,8.31,0.00,1.01,0.000,0.159,1260145.6,2.2,5,0,4.21,1.01,1.01
